pressure,enthalpy
1.677836303710937500e+02,3.458146057128906250e+02
1.706820068359375000e+02,3.513163757324218750e+02
1.699908599853515625e+02,3.517032470703125000e+02
1.705195465087890625e+02,3.524698791503906250e+02
1.701623840332031250e+02,3.524791259765625000e+02
1.602000427246093750e+02,3.491274108886718750e+02
1.544599456787109375e+02,3.414931945800781250e+02
1.527860870361328125e+02,3.410775451660156250e+02
1.518023681640625000e+02,3.407354736328125000e+02
1.521540832519531250e+02,3.404631652832031250e+02
1.518692932128906250e+02,3.449322509765625000e+02
1.523341979980468750e+02,3.533567199707031250e+02
1.520311889648437500e+02,3.519753417968750000e+02
1.522534332275390625e+02,3.519811096191406250e+02
1.524956359863281250e+02,3.521855163574218750e+02
1.503861999511718750e+02,3.516363525390625000e+02
1.396196594238281250e+02,3.487615966796875000e+02
1.429481506347656250e+02,3.494169311523437500e+02
1.449805603027343750e+02,3.503680114746093750e+02
1.446956176757812500e+02,3.505582275390625000e+02
1.488402709960937500e+02,3.518077392578125000e+02
1.488290405273437500e+02,3.515886535644531250e+02
1.483923187255859375e+02,3.513440856933593750e+02
1.478012084960937500e+02,3.509324340820312500e+02
1.480337219238281250e+02,3.507109680175781250e+02
1.511806182861328125e+02,3.515130004882812500e+02
1.510429382324218750e+02,3.509855957031250000e+02
1.519917907714843750e+02,3.514965515136718750e+02
1.504949645996093750e+02,3.509768066406250000e+02
1.504377288818359375e+02,3.508497924804687500e+02
1.596402740478515625e+02,3.528786010742187500e+02
1.556044311523437500e+02,3.524155578613281250e+02
1.569897460937500000e+02,3.524986572265625000e+02
1.573249053955078125e+02,3.523772277832031250e+02
1.571711120605468750e+02,3.521660156250000000e+02
1.681965332031250000e+02,3.538444824218750000e+02
1.692540588378906250e+02,3.543977050781250000e+02
1.691515655517578125e+02,3.548144226074218750e+02
1.691897583007812500e+02,3.549237670898437500e+02
1.690726013183593750e+02,3.543493652343750000e+02
1.669050292968750000e+02,3.534190368652343750e+02
1.643203125000000000e+02,3.523960266113281250e+02
1.628812255859375000e+02,3.525430603027343750e+02
1.640117340087890625e+02,3.525598144531250000e+02
1.644099121093750000e+02,3.528092041015625000e+02
1.608018798828125000e+02,3.510826416015625000e+02
1.566896972656250000e+02,3.480278320312500000e+02
1.577401733398437500e+02,3.488132934570312500e+02
1.589295349121093750e+02,3.490061645507812500e+02
1.590004730224609375e+02,3.491641845703125000e+02
1.602039642333984375e+02,3.491765747070312500e+02
1.676114501953125000e+02,3.432154846191406250e+02
1.630465393066406250e+02,3.415617675781250000e+02
1.607778320312500000e+02,3.403640441894531250e+02
1.613742675781250000e+02,3.399157104492187500e+02
1.608090515136718750e+02,3.411997070312500000e+02
1.611425476074218750e+02,3.496919555664062500e+02
1.613132629394531250e+02,3.502322387695312500e+02
1.622552642822265625e+02,3.512010498046875000e+02
1.623008728027343750e+02,3.516925659179687500e+02
1.702055053710937500e+02,3.539588623046875000e+02
1.817407684326171875e+02,3.527185668945312500e+02
1.796968688964843750e+02,3.534742126464843750e+02
1.780469970703125000e+02,3.541644287109375000e+02
1.780508575439453125e+02,3.537462158203125000e+02
1.735042419433593750e+02,3.523385009765625000e+02
1.706468200683593750e+02,3.521047668457031250e+02
1.715724182128906250e+02,3.528508300781250000e+02
1.716777038574218750e+02,3.523073425292968750e+02
1.715845184326171875e+02,3.521959838867187500e+02
1.713887329101562500e+02,3.522740783691406250e+02
1.719955444335937500e+02,3.544407653808593750e+02
1.702579040527343750e+02,3.520333251953125000e+02
1.705536499023437500e+02,3.520844421386718750e+02
1.707392578125000000e+02,3.521852416992187500e+02
1.742638397216796875e+02,3.529865112304687500e+02
1.802734069824218750e+02,3.529591674804687500e+02
1.791120300292968750e+02,3.531552734375000000e+02
1.789000854492187500e+02,3.537178649902343750e+02
1.792780456542968750e+02,3.536547241210937500e+02
1.889941406250000000e+02,3.534551391601562500e+02
1.823482666015625000e+02,3.539550476074218750e+02
1.855882568359375000e+02,3.545723266601562500e+02
1.863931732177734375e+02,3.545901489257812500e+02
1.861748046875000000e+02,3.543574218750000000e+02
1.684345703125000000e+02,3.516558532714843750e+02
1.759433898925781250e+02,3.534598693847656250e+02
1.748294982910156250e+02,3.530100708007812500e+02
1.743647003173828125e+02,3.533110351562500000e+02
1.755576324462890625e+02,3.538232116699218750e+02
1.758171386718750000e+02,3.540440979003906250e+02
1.836423950195312500e+02,3.543742370605468750e+02
1.758872680664062500e+02,3.538248291015625000e+02
1.756245727539062500e+02,3.534491271972656250e+02
1.764564971923828125e+02,3.533943481445312500e+02
1.851472015380859375e+02,3.537262573242187500e+02
1.818815002441406250e+02,3.537373962402343750e+02
1.813524780273437500e+02,3.539128417968750000e+02
1.813024749755859375e+02,3.535676269531250000e+02
1.811587371826171875e+02,3.534803161621093750e+02
1.862908020019531250e+02,3.545636291503906250e+02
1.868378601074218750e+02,3.544278259277343750e+02
1.859709777832031250e+02,3.544742431640625000e+02
1.850700683593750000e+02,3.540353698730468750e+02
1.849922485351562500e+02,3.539754333496093750e+02
1.775730743408203125e+02,3.531662292480468750e+02
1.748641662597656250e+02,3.531336364746093750e+02
1.757501525878906250e+02,3.536412353515625000e+02
1.753429260253906250e+02,3.537565307617187500e+02
1.751421813964843750e+02,3.534876098632812500e+02
1.723880920410156250e+02,3.530636596679687500e+02
1.628217773437500000e+02,3.516396179199218750e+02
1.646335601806640625e+02,3.525600585937500000e+02
1.651861267089843750e+02,3.520518798828125000e+02
1.652446289062500000e+02,3.519320068359375000e+02
1.787311706542968750e+02,3.525162658691406250e+02
1.715491638183593750e+02,3.527326660156250000e+02
1.729928741455078125e+02,3.531273803710937500e+02
1.732217712402343750e+02,3.531119995117187500e+02
1.730738983154296875e+02,3.528196716308593750e+02
1.814340667724609375e+02,3.539877624511718750e+02
1.820188293457031250e+02,3.540539245605468750e+02
1.812615661621093750e+02,3.543303527832031250e+02
1.813691253662109375e+02,3.541712341308593750e+02
1.812880859375000000e+02,3.539166259765625000e+02
1.723311767578125000e+02,3.522809753417968750e+02
1.718087158203125000e+02,3.525496826171875000e+02
1.715379486083984375e+02,3.528599548339843750e+02
1.711642456054687500e+02,3.527134399414062500e+02
1.709693298339843750e+02,3.525018615722656250e+02
1.806196289062500000e+02,3.535284423828125000e+02
1.816092376708984375e+02,3.532354125976562500e+02
1.796808776855468750e+02,3.539375915527343750e+02
1.796719207763671875e+02,3.541719055175781250e+02
1.797457580566406250e+02,3.538117980957031250e+02
1.741457519531250000e+02,3.529316406250000000e+02
1.684678649902343750e+02,3.521617431640625000e+02
1.731666870117187500e+02,3.533688354492187500e+02
1.742855224609375000e+02,3.532575683593750000e+02
1.742099456787109375e+02,3.532617187500000000e+02
1.734400024414062500e+02,3.556209106445312500e+02
1.776658325195312500e+02,3.556820678710937500e+02
1.760514831542968750e+02,3.547972106933593750e+02
1.759133300781250000e+02,3.545809936523437500e+02
1.762281341552734375e+02,3.544650268554687500e+02
1.647626953125000000e+02,3.525668945312500000e+02
1.687875518798828125e+02,3.538515625000000000e+02
1.683083190917968750e+02,3.537698974609375000e+02
1.682481079101562500e+02,3.538428649902343750e+02
1.685324249267578125e+02,3.539843750000000000e+02
1.695769958496093750e+02,3.541610107421875000e+02
1.813826904296875000e+02,3.543753967285156250e+02
1.764653472900390625e+02,3.543170471191406250e+02
1.758774108886718750e+02,3.545971984863281250e+02
1.762070007324218750e+02,3.541128540039062500e+02
1.759042968750000000e+02,3.538015747070312500e+02
1.755550231933593750e+02,3.535317382812500000e+02
1.745975189208984375e+02,3.533501586914062500e+02
1.742528381347656250e+02,3.533336486816406250e+02
1.742261352539062500e+02,3.534036254882812500e+02
1.604296417236328125e+02,3.517307434082031250e+02
1.660914459228515625e+02,3.531289672851562500e+02
1.646355285644531250e+02,3.524912109375000000e+02
1.634949340820312500e+02,3.523139648437500000e+02
1.641877899169921875e+02,3.524804687500000000e+02
1.596546325683593750e+02,3.505536499023437500e+02
1.608493347167968750e+02,3.507728881835937500e+02
1.604749755859375000e+02,3.508109436035156250e+02
1.607614440917968750e+02,3.509541320800781250e+02
1.608327178955078125e+02,3.510529785156250000e+02
1.561502532958984375e+02,3.503471679687500000e+02
1.488065490722656250e+02,3.494624023437500000e+02
1.520224151611328125e+02,3.507103881835937500e+02
1.526960144042968750e+02,3.506473693847656250e+02
1.521302947998046875e+02,3.507702941894531250e+02
1.445677795410156250e+02,3.487324829101562500e+02
1.460815124511718750e+02,3.490570983886718750e+02
1.457395477294921875e+02,3.491296691894531250e+02
1.451410522460937500e+02,3.490900268554687500e+02
1.451282806396484375e+02,3.493038024902343750e+02
1.453949890136718750e+02,3.495285034179687500e+02
1.452446594238281250e+02,3.494357604980468750e+02
1.461322937011718750e+02,3.499820556640625000e+02
1.458450469970703125e+02,3.500033569335937500e+02
1.457956848144531250e+02,3.500527648925781250e+02
1.459945220947265625e+02,3.497916564941406250e+02
1.412285766601562500e+02,3.395253295898437500e+02
1.429808044433593750e+02,3.403325195312500000e+02
1.425732727050781250e+02,3.400184020996093750e+02
1.422852325439453125e+02,3.394066162109375000e+02
1.350312500000000000e+02,3.338926391601562500e+02
1.331931610107421875e+02,3.285649108886718750e+02
1.325156097412109375e+02,3.272941589355468750e+02
1.332031250000000000e+02,3.277877197265625000e+02
1.337327728271484375e+02,3.280148925781250000e+02
1.336437530517578125e+02,3.279801940917968750e+02
1.383975219726562500e+02,3.371487121582031250e+02
1.351095886230468750e+02,3.342397155761718750e+02
1.351162414550781250e+02,3.330881042480468750e+02
1.351328125000000000e+02,3.331683959960937500e+02
1.356802520751953125e+02,3.318473205566406250e+02
1.355959167480468750e+02,3.190847167968750000e+02
1.352608642578125000e+02,3.199797668457031250e+02
1.345168457031250000e+02,3.200233459472656250e+02
