Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
102,158.430601957604,336.693268814216,0.0279552992235806,0.0279552992235806,223.49244729872,0.360919751599162,-6.87425582938608,-18.7786274486394,-18.7964105003516,-9.53083122417459,1,0.493480140640142,0.247531299983179,-1.07632042589423,4.36011986794051e-08,2
104,158.071277449016,334.155150939349,0.0279552992235806,0.0279552992235806,223.450499480988,0.360918720991356,-6.87425582938778,-18.8348495347866,-18.8526326046307,-9.547550768288,1,0.495485924179498,0.250137829528316,-1.10630392003842,5.14481644321437e-08,0
106,157.990326510723,333.659311694943,0.0279552992235806,0.0279552992235806,223.441919212771,0.360918047211825,-6.87425582938916,-18.8475156085644,-18.8652986818835,-9.56135703014495,1,0.495292739443185,0.250762569043015,-1.11148695466924,1.17665176808033e-08,0
108,157.974144039638,333.572894664282,0.0279552992235806,0.0279552992235806,223.440348303024,0.36091758121506,-6.87425582939028,-18.8500476159957,-18.8678306898943,-9.57194086324101,1,0.498018322871145,0.250870620281408,-1.11266328358884,1.84192101628323e-06,0
110,157.970032981342,333.551724683216,0.0282582178571242,0.0282582178571242,223.414561334842,0.364727828790178,-6.9445157358163,-18.850491157976,-18.8686736302188,-9.58041055900002,1,0.495673601113709,0.246088378709873,-1.12996527505115,2.85363484005711e-07,2
112,157.530914299858,333.264262786674,0.03,0.03,223.250170304457,0.412394124465074,-7.34851019771431,-18.918905561829,-18.9401003359805,-9.66743682698904,1,0.493616290219186,0.239503308483693,-1.21370316932829,9.8413574538688e-10,2
114,157.185046289656,332.4921306351,0.03,0.03,223.230629195553,0.412371924514266,-7.3485101977189,-18.974913601551,-18.9961083779769,-9.72520721971664,1,0.520166193501602,0.241525735777901,-1.2319781261487,7.84609652566711e-07,2
116,157.085684739088,332.183997151235,0.03,0.03,223.224163801055,0.412365660190545,-7.34851019772215,-18.9910036861025,-19.01219846401,-9.76674297507776,1,0.490978009302454,0.242079842374067,-1.23783489370689,2.23801834841087e-05,2
118,157.05673487934,332.084014374503,0.03,0.03,223.222179441276,0.412363378345209,-7.34851019772453,-18.9956916733929,-19.0168864518303,-9.79715194040783,1,0.4827400451754,0.242233045663739,-1.23971900022592,2.53212980295147e-05,2
120,157.047089560291,332.053378625848,0.03,0.03,223.221544364673,0.415274208132293,-7.36670772773236,-18.9972535853983,-19.0184483639858,-9.82015691847402,1,0.458116389380918,0.24900157376944,-1.18717463386398,9.87611133358726e-06,2
122,157.590444058427,333.043762089634,0.03,0.03,223.250048017457,0.426923177235007,-7.39400402272961,-18.9092656252346,-18.930460402498,-9.83386094952491,1,0.495001852708583,0.237220125836178,-1.18524763948932,7.66735134594993e-07,2
124,157.574267397212,333.109362926706,0.03,0.03,223.250137816045,0.42692084898099,-7.39400402273024,-18.9118851888369,-18.9330799652421,-9.84236005496555,1,0.495995867504354,0.23729154262866,-1.18576104447321,1.61411414722788e-09,2
126,157.567657753904,333.100585672006,0.03,0.03,223.249823703987,0.426920187173043,-7.39400402273064,-18.9129555196107,-18.934150296001,-9.84843261153336,1,0.495281010541671,0.237317983143332,-1.18616299184147,5.80886486007211e-08,0
128,157.565211291705,333.093518293984,0.03,0.03,223.249669766586,0.426919910064466,-7.394004022731,-18.913351686777,-18.934546463198,-9.85289205479318,1,0.495188403498532,0.23732881130489,-1.18631183386168,5.07097781142961e-08,0
130,157.564285106816,333.090996063809,0.03,0.03,218.128419563877,0.403246742648383,-7.35515340482745,-18.9135016682665,-18.9346964446978,-9.85607875505531,1,0.489271474526708,0.135310640550145,-1.30262771495795,1.17417770437474e-05,0
132,148.098970620203,328.696523672462,0.03,0.03,216.07379681662,0.363804003854212,-7.34220319893833,-20.4618948878721,-20.4838314422895,-9.9496048242151,1,0.583341852232158,0.254399601959383,-1.27060566299338,1.09026929532659e-06,-2
134,148.131942522856,329.201630641835,0.03,0.03,216.079599918636,0.363802449099696,-7.34220319894737,-20.4563687399795,-20.478305289993,-10.0391106796363,1,0.494942934679471,0.254185207741614,-1.26590203625796,4.11324090001555e-06,2
136,148.135299959403,329.274990941772,0.03,0.03,216.080395079002,0.363800181970036,-7.34220319895421,-20.4558060279383,-20.4777425772453,-10.1069800513675,1,0.494747806700738,0.254044440693128,-1.26617538932328,7.25705524040168e-06,2
138,148.12583744672,329.267645683657,0.03,0.03,216.080010908297,0.363798171435213,-7.3422031989595,-20.4573919620995,-20.4793285113203,-10.1592487180238,1,0.495128632174284,0.253984964802598,-1.26716557774809,8.66211804885523e-08,0
140,148.115531919005,329.251791123204,0.0297662025953873,0.0297662025953873,216.83965517938,0.368599426807064,-7.37228290772981,-20.4592863381898,-20.4808885851328,-10.1995243221412,1,0.495766455058406,0.358643013207963,-1.01918481120951,2.63880623122989e-07,2
142,155.808566532746,335.136884765446,0.028675148040528,0.028675148040528,220.722449555552,0.41822590732609,-7.51265488190407,-19.1987286309289,-19.2180930883417,-10.1685941463842,1,0.495831641006105,0.23274787623585,-1.04195936400792,2.61778303071926e-07,2
144,155.741558385393,334.956029552802,0.028675148040528,0.028675148040528,220.718206471389,0.418220702163083,-7.51265488190109,-19.2095795765372,-19.2289440344617,-10.1293567969937,1,0.495359221481055,0.233077956653357,-1.04663313264643,5.60366534354754e-07,2
146,155.719031262141,334.878512227442,0.028675148040528,0.028675148040528,220.716602022108,0.418220593476516,-7.51265488189887,-19.2132274998267,-19.2325919581561,-10.1002655600894,1,0.495595579449619,0.233265408656705,-1.04766733668828,1.15005967702941e-06,2
148,155.717458757269,334.862111080495,0.028675148040528,0.028675148040528,220.71637303289,0.418221301799678,-7.51265488189723,-19.2134821429029,-19.2328466013655,-10.0787366538781,1,0.496113134281543,0.233320630947434,-1.04764324635257,3.09675062999587e-06,2
150,155.72061091507,334.862597659779,0.0288146061415251,0.0288146061415251,220.978187514139,0.420543605055135,-7.49856641253083,-19.2128753661603,-19.2324324904995,-10.0626144205066,1,0.495410685833178,0.27690465084563,-1.01904687307844,1.834565768534e-08,2
